俳句,作者,季語,季節,出典,前書,評言,評者,備考
さくらもちボールペンがつまずくの,三富みきえ,桜餅,春,,,,,
虞美人草猫がお辞儀をして通る,三富みきえ,雛罌栗,夏,,,,,
ラ・フランス時々パリの方を見る,三富みきえ,梨,秋,,,,,
白寿なるヅカ・ガールにて寒夕焼,三富みきえ,冬の夕焼,冬,,,,,
ぽっくりの音が好きです路地の冬,三富みきえ,冬,冬,,,,,
初髪は黒に戻して江戸小紋,宮利男,初髪,新年,,,,,
一族に明治は消えて春の雪,宮利男,春の雪,春,,,,,
今日だけの姐気取りや祭髪,宮利男,祭,夏,,,,,
春愁の男厨は演歌かな,宮利男,春愁,春,,,,,
麦の秋円空仏が慈悲の笑み,宮利男,麦の秋,夏,,,,,
日表に孤影を残す青大将,宮原光女,蛇,夏,,,,,
端居してインコに声をかけている,宮原光女,端居,夏,,,,,
はつ秋の牛のしっぽが右ひだり,宮原光女,初秋,秋,,,,,
さわやかに鳥居をくぐり羽黒山,宮原光女,爽やか,秋,,,,,
雪だるま大小四つ無人駅,宮原光女,雪達磨,冬,,,,,
この男手負いの狐かもしれず,宮森碧,狐,冬,,,,,
未来混沌枝豆に塩少し,宮森碧,枝豆,秋,,,,,
星涼しガバリとまわる洗濯機,宮森碧,夏の星,夏,,,,,
双蝶の一つは影をすてゆけり,宮森碧,蝶,春,,,,,
鷹鳩と化してまぶしい糸切歯,宮森碧,鷹,冬,,,,,
きのふ見し初蝶けふの鬱の中,三輪初子,蝶,春,,,,,
人に生まれ桜に生まれ星遠し,三輪初子,桜,春,,,,,
太陽に飽きてしまひし夏帽子,三輪初子,夏帽子,夏,,,,,
月光を呑みこんでゐるマンホール,三輪初子,月,秋,,,,,
十五夜とむかふわたしといふひとり,三輪初子,名月,秋,,,,,
大の字に風の寝ている麦の秋,森満,麦の秋,夏,,,,,
葉桜や寡黙は男の美学なり,森満,葉桜,夏,,,,,
蟬時雨天神様の細道じゃ,森満,蟬,夏,,,,,
柚子風呂に石仏のごと沈みおり,森満,柚子湯,冬,,,,,
方便の嘘さりげなく蜜柑むく,森満,蜜柑,冬,,,,,
亡母の声ふと雪解けの音に似て,森岡水居郎,雪解,春,,,,,
寒牡丹藁の衣を被り立つ,森岡水居郎,寒牡丹,冬,,,,,
余寒中屋上の職人よく動く,森岡水居郎,余寒,春,,,,,
孜々と動く翁医師にも春近まる,森岡水居郎,春近し,冬,,,,,
金メダルその輝きに氷照り,森岡水居郎,氷,冬,,,,,
蝸牛一生水平線でいる,森須蘭,蝸牛,夏,,,,,
埃っぽい私といる月見草,森須蘭,月見草,夏,,,,,
薬局のような胃袋青時雨,森須蘭,時雨,冬,,,,,
過呼吸の泡立草の生む言葉,森須蘭,背高泡立草,秋,,,,,
新緑に音を残してきたらしい,森須蘭,新緑,夏,,,,,
この涯に水漬く屍や春の海,森本弥生,春の海,春,,,,,
春の夜の思惟解き給え半跏像,森本弥生,春の夜,春,,,,,
滴りや風なき森の猿麻裃,森本弥生,滴り,夏,,,,,
天高し駱駝の影を砂に踏む,森本弥生,秋高し,秋,,,,,
灯を入れてひとりの部屋の白障子,森本弥生,障子,冬,,,,,
除夜の鐘宇宙の星の小さき国,柳下美砂枝,除夜の鐘,冬,,,,,
白絣兄の頂に父をみる,柳下美砂枝,白絣,夏,,,,,
洋菓子の用意もありて良夜かな,柳下美砂枝,良夜,秋,,,,,
水澄みて雲流れゆく梓川,柳下美砂枝,水澄む,秋,,,,,
ボール蹴るサッカー少年草紅葉,柳下美砂枝,草紅葉,秋,,,,,
秋草へ詮索好きな侏儒一列,薬師川麻耶子,秋草,秋,,,,,
家中の時計三分遅れ出す,薬師川麻耶子,無季,無季,,,,,
近日中「愛」贈りますトナカイ便,薬師川麻耶子,無季,無季,,,,,
立冬が隣に正座し且つ無言,薬師川麻耶子,立冬,冬,,,,,
木枯カン太雨戸の外で泣きじゃくる,薬師川麻耶子,凩,冬,,,,,
花の下腕組みとかぬゴリラかな,やしま季晴,花,春,,,,,
めし食うて涙とまらぬ夏ありし,やしま季晴,夏,夏,,,,,
ちやきちやきの勝手つんぼと釣忍,やしま季晴,釣忍,夏,,,,,
つららつう　ららのところで元の水,やしま季晴,氷柱,冬,,,,,
静脈の手に動脈の春キャベツ,やしま季晴,春キャベツ,春,,,,,
渋滞は分岐点より夕ざくら,矢島三榮代,桜,春,,,,,
十三夜親父に会うてから帰ろ,矢島三榮代,後の月,秋,,,,,
今朝の霜ロボットアシモの如く踏む,矢島三榮代,霜,冬,,,,,
刻みたる若菜せきせいいんこにも,矢島三榮代,若菜,新年,,,,,
缶の馬かつぽかつぽと寒明くる,矢島三榮代,寒明,春,,,,,
浮雲ふわり　街は黄葉（もみじの）の風ばかり,安原夏子,黄葉,秋,,,,,
足袋型の靴など流行り去年今年,安原夏子,去年今年,新年,,,,,
下丸子３の30　花の天,安原夏子,花曇,春,,,,,
れんぎょうの里海光をひきよせる,安原夏子,連翹,春,,,,,
緑蔭にシュレッダーのひと休み,安原夏子,緑蔭,夏,,,,,
落椿枝にふたがれ焦れてゐる,柳田芽衣,椿,春,,,,,
世の中にふつと手の出て柏餅,柳田芽衣,柏餅,夏,,,,,
いちやうに年寄る少女谿の藤,柳田芽衣,藤,春,,,,,
桃源や千草八千草なびけるは,柳田芽衣,秋草,秋,,,,,
坂道の底へそこへと鴨のこゑ,柳田芽衣,鴨,冬,,,,,
粽解く夫が家出をしない訳,柳瀬亜湖,粽,夏,,,,,
歯ブラシも重たし今朝の青時雨,柳瀬亜湖,時雨,冬,,,,,
秋刀魚焼く女盛りも草臥れて,柳瀬亜湖,秋刀魚,秋,,,,,
十一月そろそろ棒を出そうかな,柳瀬亜湖,十一月,冬,,,,,
大雪の大罪祖父母拉致される,柳瀬亜湖,雪,冬,,,,,
白れんや我もしてみむ朝帰り,矢野美与子,蓮の花,夏,,,,,
夜目に光る蛙ひき逃げ事件なり,矢野美与子,蛙,春,,,,,
夜更しの目高なんです五匹です,矢野美与子,目高,夏,,,,,
目高ども我につられて太るかな,矢野美与子,目高,夏,,,,,
ロボットに目高の餌を頼もうか,矢野美与子,目高,夏,,,,,
啓蟄や顔の出てくる地下の駅,山口昭義,啓蟄,春,,,,,
玄海へ打ち込む祭太鼓かな,山口昭義,祭,夏,,,,,
妹を叱りしむかし祭笛,山口昭義,祭,夏,,,,,
陸奥の短しといふみみず鳴く,山口昭義,蚯蚓,夏,,,,,
敗戦忌象の逝きしを語り継ぎ,山口昭義,終戦記念日,秋,,,,,
ちょっといい未来へ一歩旅始,山口紀子,初旅,新年,,,,,
五月雨を飲み干し橅の山太る,山口紀子,五月雨,夏,,,,,
深呼吸したたる山に染まるまで,山口紀子,滴り,夏,,,,,
銀漢のなだれこみたり分水嶺,山口紀子,天の川,秋,,,,,
狂いだす体内時計秋深む,山口紀子,秋深し,秋,,,,,
輪郭のなきが眞実雪おんな,山口正三,雪女郎,冬,,,,,
初夢や極楽あとかた無くさみし,山口正三,初夢,新年,,,,,
このあたり浄土近きかあたたかし,山口正三,暖か,春,,,,,
時の日やダリの歪めし大時計,山口正三,時の記念日,夏,,,,,
そういえば鉱山あったアカシア咲いて,山口正三,アカシアの花,夏,,,,,
春愁や反戰の稿一気に書く,山口光*琲朗,春愁,春,,,,,
新緑の光の渦に蝶生まる,山口光*琲朗,新緑,夏,,,,,
マロニエの香り漂う夜のカフェ,山口光*琲朗,マロニエ,春,,,,,
ビルの峯ゆらぐが如く西日炎ゆ,山口光*琲朗,西日,夏,,,,,
ビル・ラッシュ何処も片陰のみの午後,山口光*琲朗,片蔭,夏,,,,,
一日を一日かけてかたつむり,山崎佳子,蝸牛,夏,,,,,
末っ子が野分をつれてやってきた,山崎佳子,野分,秋,,,,,
さえずりそうな草餅をもらいけり,山崎佳子,草餅,春,,,,,
父のいないことより淋しつくつくし,山崎佳子,法師蝉,秋,,,,,
滞りなく見てきてなんばんきせるかな,山崎佳子,南蛮煙管,秋,,,,,
暑さうな面皰有之医師（これあるくすし）なり,山地春眠子,暑し,夏,,,,,
はらいそへはらいそへ蝶卍飛,山地春眠子,蝶,春,,,,,
新社員なりコンパスを油研（あぶらとぎ）,山地春眠子,無季,無季,,,,,
手酌にて亀が鳴くまで待つ積り,山地春眠子,亀鳴く,春,,,,,
寝返りを打つて闇見る我鬼忌かな,山地春眠子,河童忌,夏,,,,,
晩学の手擦れ辞書引く薄紅梅,山田チイ子,紅梅,春,,,,,
空襲展観し目へ春光隅田川,山田チイ子,春光,春,,,,,
花水木没零歳の大き墓,山田チイ子,花水木,夏,,,,,
昭和歌謡蕗の皮むく夜更けにて,山田チイ子,蕗,夏,,,,,
道元もイエスも遠し寒月光,山田チイ子,冬の月,冬,,,,,
陸さびしはぐれ海豹（あざらし）寄りては去り,山田麥城,無季,無季,,,,,
ようこそ上野へ春勧進の盧舎那仏,山田麥城,春,春,,,,,
鉄色に老いて火を恋ふ海鵜かな,山田麥城,鵜,夏,,,,,
法師蟬瀧の齡を惟（おもん）みる,山田麥城,法師蟬,秋,,,,,
死火山の鬣（たてがみ）として芒照る,山田麥城,芒,秋,,,,,
五月富士蝶ネクタイの給仕舞う,山田裕康,五月,夏,,,,,
蟬時雨汽缶車置かれ鉄の匂い,山田裕康,蟬,夏,,,,,
啞蟬の羽音は天の隙間に消ゆ,山田裕康,蟬,夏,,,,,
画用紙の天が足りない子の花火,山田裕康,花火,夏,,,,,
石垣の美しき里なり柿みのる,山田裕康,柿,秋,,,,,
流星を集める遺失物係,山戸則江,流星,秋,,,,,
三業地跡に背高泡立草,山戸則江,背高泡立草,秋,,,,,
稲妻と稲妻の間で旅終る,山戸則江,稲妻,秋,,,,,
白酒に酔って指切りしてしまう,山戸則江,白酒,春,,,,,
纏足を解かれて夏の蝶生れる,山戸則江,夏の蝶,夏,,,,,
ぼうたんの葩の奥へ眠りたし,山中恵子,牡丹,夏,,,,,
たまゆらの草の匂や夏の月,山中恵子,夏の月,夏,,,,,
ゆらゆらと団扇の母の夢の中,山中恵子,団扇,夏,,,,,
秋雨の松の容のゆるぎ無し,山中恵子,秋雨,秋,,,,,
いつぽんの枯木を愛しひとよ過ぐ,山中恵子,枯木,冬,,,,,
結城着て論語集解読み始め,山中正己,読初,新年,,,,,
起ち上るティラノサウルス春の山,山中正己,春の山,春,,,,,
背泳ぎの顔を濡らさずソクラテス,山中正己,泳ぎ,夏,,,,,
愁眉開く庄内平野稲穂波,山中正己,稲,秋,,,,,
パライゾに急く人のあり冬構,山中正己,冬構,冬,,,,,
身辺整理は誰かがするさ鳥雲に,山藤青甫,鳥雲に入る,春,,,,,
顎細き男らを吐く梅雨のビル,山藤青甫,梅雨,夏,,,,,
手の甲に靜脈太く浮き晩夏,山藤青甫,晩夏,夏,,,,,
吹きたまる落葉の先にある扉,山藤青甫,落葉,冬,,,,,
マスクしてむかしの中に紛れこむ,山藤青甫,マスク,冬,,,,,
時代劇橋のたもとに柳あり,山本敦子,柳,春,,,,,
鮭五郎はなしの種に食べてみる,山本敦子,鮭,秋,,,,,
すみれ植え終の栖処と腰据える,山本敦子,菫,春,,,,,
すぐ夢中になっちゃうコトコト黒豆煮る,山本敦子,黒豆膾,秋,,,,,
舟石の舳先浄土へ向け越年,山本敦子,年越,冬,,,,,
初場所の東と西の水と塩,山本紫黄,初場所,新年,,,,,
平和憲法記念日いかの姿焼,山本紫黄,憲法記念日,春,,,,,
父の日の夕空晴れて浅間山,山本紫黄,父の日,夏,,,,,
引力のありて落ちけり赤い羽根,山本紫黄,赤い羽根,秋,,,,,
前は前うしろはうしろ雪野原,山本紫黄,冬野,冬,,,,,
不知火を科学して君流木に,山本千代子,不知火,秋,,,,,
毒言の口をふさぐに花びら餅,山本千代子,花びら餅,新年,,,,,
雲うるさしハンカチの木の咲くならば,山本千代子,汗拭ひ,夏,,,,,
葱の息吐いて合戦絵巻解く,山本千代子,葱,冬,,,,,
楸邨に紙衣や飛旅子には綿衣,山本千代子,綿入,冬,,,,,
鮨つまむシンプルも又食文化,山本洋,鮨,夏,,,,,
六本木ヒルズの谷間照紅葉,山本洋,照葉,秋,,,,,
騎馬戦の落馬の君の無念かな,山本洋,運動会,秋,,,,,
近未來銀漢渡る旅あらむ,山本洋,天の川,秋,,,,,
凍てる滝只今思考停止中,山本洋,凍滝,冬,,,,,
うくらいな発水面下でありけり,山本敏倖,無季,無季,,,,,
桜鯛さて音階はなぽれおん,山本敏倖,桜鯛,春,,,,,
地上まで滝であること忘れけり,山本敏倖,滝,夏,,,,,
中間色の律令よりのきりぎりす,山本敏倖,螽蟖,秋,,,,,
十一月されど柱はぽるとがる,山本敏倖,十一月,冬,,,,,
花冷えやロボットころんで起きあがる,遊佐光子,花冷え,春,,,,,
一列にヨンサマ案山子はためく田,遊佐光子,案山子,秋,,,,,
芋名月足湯の客を明るくす,遊佐光子,名月,秋,,,,,
海賊船人積み残し冬の湖,遊佐光子,冬,冬,,,,,
結び目を又確かめる年の暮,遊佐光子,年の暮,冬,,,,,
蟇口の賽銭を選る万愚節,横田純子,四月馬鹿,春,,,,,
菜の花や夕日沈めばみな昔,横田純子,菜の花,春,,,,,
月に旗オムレツに旗蝌蚪生る,横田純子,蝌蚪,春,,,,,
晩秋の羅漢の膝に小銭置く,横田純子,晩秋,秋,,,,,
いさぎよき葱の白さよ酩酊す,横田純子,葱,冬,,,,,
流灯のゆれながら火を上げながら,好井由江,燈篭流し,秋,,,,,
のほほんと煙突二本柳絮とぶ,好井由江,柳絮,春,,,,,
形代になんにょのかたちなかりけり,好井由江,名越の祓,夏,,,,,
組曲や総立ちとなる貝割菜,好井由江,貝割菜,秋,,,,,
案山子翁何か叫びぬ風の中,好井由江,案山子,秋,,,,,
背のびして飯粒で貼る火伏札,吉田克子,無季,無季,,,,,
日向水忘れられたる誕生日,吉田克子,日向水,夏,,,,,
ひぐらしや方丈様は話好き,吉田克子,蜩,秋,,,,,
籾の山畔駆ける犬沈ませる,吉田克子,籾,秋,,,,,
年の暮夫いつもの散髪屋,吉田克子,年の暮,冬,,,,,
十二月紐が一本垂れてくる,吉田健治,十二月,冬,,,,,
木枯しヒュー組鐘（かりよん）の音盗んで行く,吉田健治,凩,冬,,,,,
眼の中の雪を数えて二度童,吉田健治,雪,冬,,,,,
立春の光の棒に射ぬかれる,吉田健治,立春,春,,,,,
桜草の鉢を殖やして町工場,吉田健治,桜草,春,,,,,
あおやぎの破調まるごと干してあり,吉浜青湖,柳,春,,,,,
風をおもう陽炎になったキリン,吉浜青湖,陽炎,春,,,,,
ねころんだ夏野から知恵熱,吉浜青湖,夏野,夏,,,,,
私の忌ホタル袋で座禪,吉浜青湖,蛍袋,夏,,,,,
吹き溜る言葉秋なりからバケツ,吉浜青湖,秋,秋,,,,,
その影を踏みて紅梅愛でにけり,米田真琴,紅梅,春,,,,,
雛納め九人家族でありしかな,米田真琴,雛納め,春,,,,,
花筏これより先は神田川,米田真琴,花筏,春,,,,,
梅雨のポストより達筆のはみ出せり,米田真琴,梅雨,夏,,,,,
薯すりし指のぬめりも白露かな,米田真琴,露,秋,,,,,
生贄の汗いくたびか青銅器,若林波留美,汗,夏,,,,,
塩滲み出づ八月の金盥,若林波留美,八月,秋,,,,,
月光を手繰れる卒都婆小町かな,若林波留美,月,秋,,,,,
波立たぬ現像液や憂国忌,若林波留美,憂国忌,秋,,,,,
前文を陽へ押し上ぐる霜柱,若林波留美,霜柱,冬,,,,,
ポランまで武蔵野線の下萌えて,鷲田環,下萌,春,,,,,
みんな夢拾って捨てる桜貝,鷲田環,桜貝,春,,,,,
眼には青葉きょうのおすすめカルパッチョ,鷲田環,青葉,夏,,,,,
小春日ってみなみらんぼうさんみたい,鷲田環,小春,冬,,,,,
唄ってよザルツブルクの初しぐれ,鷲田環,初時雨,冬,,,,,
張りつめたものから開く　寒の梅,鷲山千晴,冬の梅,冬,,,,,
したたかな夏来て　草木身構える,鷲山千晴,立夏,夏,,,,,
かたくなな殻も　脱ぎたい更衣,鷲山千晴,更衣,夏,,,,,
炎天に散らばっている　記憶たち,鷲山千晴,炎天,夏,,,,,
水澄めり　石の丸みと石の過去,鷲山千晴,水澄む,秋,,,,,
歌舞伎町眠らぬ夜の恋の猫,和田澄子,猫の恋,春,,,,,
暖かや廊きしませて蘆花旧居,和田澄子,暖か,春,,,,,
菊坂に残る質蔵しじみ蝶,和田澄子,蝶,春,,,,,
渡りゆく矢切の空の薄暑かな,和田澄子,薄暑,夏,,,,,
豹柄を着て秋晴の新宿へ,和田澄子,秋晴,秋,,,,,
腰のものなど要らぬ夫なり揚雲雀,渡邉きさ子,雲雀,春,,,,,
雉鳩のしゃくり啼く日や梅熟れる,渡邉きさ子,梅,春,,,,,
あす小雪夫の旅荷をひとつ足す,渡邉きさ子,雪,冬,,,,,
「船漕ぎ俑」しぐれ川瀨へ漕ぎ出でよ,渡邉きさ子,時雨,冬,,,,,
夜更けの踏切り遅れた冬が渡り切る,渡邉きさ子,冬,冬,,,,,
ゴンドラの唄で締切る女正月,渡部よね,女正月,新年,,,,,
金亀子むかしどの家も子沢山,渡部よね,金亀子,夏,,,,,
珊瑚礁灼けて一島横たわる,渡部よね,灼く,夏,,,,,
長命の怖ろしきまで曼珠沙華,渡部よね,曼珠沙華,秋,,,,,
歳晩や軍手の如く妻はたらく,渡部よね,年の暮,冬,,,,,
夏来る人格二つたずさえて,恩田皓充,立夏,夏,,,恩田皓充に最初に会ったのは四年前、まだ彼が高校三年の時である。毎年八月に実施している「俳句指導者講座」で、子供たちの句会の核として参加をお願いするためだった。石神井公園を句の話しをしながら散策した。口数は少なかったが、一つ一つの言葉に若々しい感性を感じさせたのを記憶している。皓充が初めて句を詠んだのは五歳の時だ。南天をとろうと思えば落ちにけりまだ字も書けない頃だから、この句は口に出して詠んだものだ。俳人である母親の恩田侑布子さんが書きとめておかれた句だ。母はさらに二歳の頃に口ずさんだ言葉をも書きとめてあるという。ボールのいのちはまあるいいのちボールのいのちはまあるいいのちだよ皓充は四歳の時から童話を書き始めた。静岡の豊かな自然に恵まれた環境の中で彼はまた次々に自由奔放に俳句も作り続けた。そして中学二年生になった時、河出書房新社から『青空の指きり』という句集を出版した。笹舟にありを乗せれば春匂うあぶらぜみ空をいためて食べている青空へ糸の切れたる曼珠沙華冬の空雲の兵隊つれていく歌人の俵万智は皓充の句についてこんな言葉を残している。「日本語には、まだまだこんなにも新鮮で素敵な組み合わせがあるのか」「私は言葉を浴びることの幸せを、たっぷりと味わった」と。『青空の指きり』に納められている多くは、小学生の句だ。彼はその後書きの中で「中学生になって、自然と触れ合う時間が圧倒的に少なくなってしまった」と書いている。今、大学三年生になった皓充は時間がとれると静岡に帰る。そこでまた自然にたっぷりつかって若いエネルギーを充電しているに違いない。そこにはまた母親の俳人恩田佑布子さんの厳しくやさしい眼差しも・・。揚句は、今年の「俳句指導者講座」の句会で高点句。これからの皓充は天真爛漫な少年の感覚と鋭敏な感性や知性をさらに磨いて、俳句界の一翼を担ってほしいと願っている。,田付賢一,
おかめひょっとこ踊る指先から枯れて,髙橋京子,冬枯,冬,橋,,「指先から枯れる」という現象を目の当たりにしたことがある。私の曾祖母が他界した時のことなのだが、既に九十六歳であり、老衰のような死に方だった。呼吸がだんだん粗くなり、脚はむくんで来るのだが、指先は言葉通り「枯れて」ゆくのである。丸みを帯びていた指が、水分を徐々に失って硬くなり、黒く尖った骨の形になってゆく。心臓の力が衰えて、先端部にまで血が通わなくなるのかもしれない。そうやって、身体の部分部分が少しずつ死んでゆき、やがて全身が動かなくなるまでの、長いとも短いとも言えない時間。その様子を、当時高校生だった私は、何ともつかぬ親近感を持って見ていた。私の家系は比較的長命で、曽祖父も祖父母も九十歳を超えて死んでいる。その兄弟達も、戦死などを除いては、みな長生きだったから、私は、年寄りの臨終に多く付き合っている方なのだろう。それらに共通した思い出として、この「時間」の存在がある。親族たちが枕元に集まって、死んでゆく個体と対面しながら、「死の尊厳」を感じるでもなく、それほど悲しいとか辛いといったこともなく、それでいて何となくお互いを理解し、安心感を享受できる幾許かの時間。それを与えられることが、長寿者の特権なのかもしれない。掲載句の「枯れて」も見事な演出を見せている。「おかめひょっとこ」というモチーフの滑稽さや、「踊る」という言葉に託された生命の躍動感が、あれよと言う間に、死の世界へ引きずり込まれてゆく。まるで落語の落ちがストンとくるように、両極端にあるイメージの落差が絶妙なテンポで埋まってしまい、その隙に作品は、読者の心にひとつの疑問を投げかけて行く。そして、そこに漂う「微妙な時間」。生が衰えるまでの静かな時間の存在を、作者は確かな視点を持って見つめている。その時間を死者と分かち合えるだけの心の余裕を、私たちはもしかしたら失いつつあるのかもしれない。,田中信克,
羅やなまけごころを大事にす,有冨光英,羅,夏,華景,,恩師有冨光英の晩年（平成十一年）の作品。最後の句集となった「華景」の最終頁の一句である。「俳句は抒情詩」を標榜し、結社「白」を創立して「象徴性ある俳句」を追求し続けた師は、自句自解の文で「なまけごころ」を文字通りの「怠け」と読んだ人は批判的であり、一心象の「ゆとり」と解した人と二分したと述べ、両者を共に受け入れながら、「自分はなまけごころも平常心の中に秘めて置きたい」と本音を洩らしている。お付き合いは約三十年に及んだが、私が直接指導を受けた晩年の数年はもどかしい弟子と思われていたに違いない。その間に肝に銘じたのは「自分の心の動きを詠め」という簡単で至難な教えだった。「平常心の中に秘めて置きたいなまけごころ」という文に接した時、「大事に」とはまさにこのことだと、今は亡き師の言葉を思いおこした次第。（加藤光樹）,,
白富士をわなげの的に裾野の子,五島瑛巳,冬の山,冬,即興音,,,,
一望の白骨の谷雪あたたか,五島瑛巳,雪,冬,「車座」,,,,
赤い林檎の国境齧り一楽徒,五島瑛巳,林檎,秋,即興音,,,,
ピアニスト水仙の冷えピアノにも,五島瑛巳,水仙,冬,「車座」,,,,
向日葵は陽を浴び影の濃くなりし,五島瑛巳,向日葵,夏,「車座」,,,,
ぐらぐらと鬼の声する桜の芽,五島瑛巳,木の芽,春,即興音,,,,
凍てし蝶やがてみなしご火を焚けり,五島瑛巳,冬の蝶,冬,「車座」,,,,
流れ星生家の窓辺さむざむし,五島瑛巳,流星,秋,「車座」,,,,
月の海渡りて還る父母の魂（たま）,五島瑛巳,盂蘭盆会,秋,水音,,,,
蒼き指星のフーガを弾き初む,五島瑛巳,無季,無季,即興音,,,,
彼岸花ぽきぽき折って亡夫恋,五島瑛巳,彼岸花,秋,「車座」,,,,
猫じゃらししゃららん即興音快調,五島瑛巳,狗尾草,秋,即興音,,,,
国境の団栗を噛む骨らしい,五島瑛巳,団栗,秋,即興音,,,,
花明り遺児ふたりあり手のやわら,五島瑛巳,花,春,「車座」,,,,
冬怒涛見て来し夜の歌やさし,五島瑛巳,冬,冬,即興音,,,,
傷口は夕焼ける漣の赤,五島瑛巳,夕焼,夏,「車座」,,,,
緑陰の傀儡ひとりにひとつづつ,五島瑛巳,緑陰,夏,「車座」,,,,
歌ひとつ遊牧の空に放ち来し,五島瑛巳,無季,無季,即興音,,,,
血縁や異国に年賀状往来,五島瑛巳,年賀状,新年,「車座」,,,,
鞦韆（しゅうせん）や風をはらみてみな帰る,五島瑛巳,ぶらんこ,春,水音,,,,
少年の骨の硬きに触れ蛍,五島瑛巳,蛍,夏,「車座」,,,,
はつなつの切れ味のよい雲である,五島瑛巳,初夏,夏,「車座」,,,,
涙して少女浴衣の帯揺らす,五島瑛巳,浴衣,夏,「車座」,,,,
恐竜の背中は藤の咲くところ,五島瑛巳,藤,夏,即興音,,,,
骸骨や裸木もあって花の山,五島瑛巳,花,春,即興音,,,,
酸欠の紅葉の山を立ち泳ぐ,五島瑛巳,紅葉,秋,即興音,,,,
またひとつネジが壊れた秋の蟬,五島瑛巳,秋の蟬,秋,即興音,,,,
子雀の足冷えびえと染む子宮,五島瑛巳,雀の子,春,「車座」,,,,
夏雲に力瘤ありやわらかし,五島瑛巳,夏の雲,夏,「車座」,,,,
桃を吸ふ仄暗き咽（のど）息の急（せ）く,五島瑛巳,桃,秋,「車座」,,,,
四方水攻め蛙城にてそうろう,五島瑛巳,蛙,春,即興音,,,,
小さな楽器の熱風が来る,五島瑛巳,灼く,夏,即興音,,,,
海しづか難聴の子のピアノ鳴る,五島瑛巳,無季,無季,即興音,,,,
ピアニスト十指の梅干し元気元気,五島瑛巳,梅干,夏,即興音,,,,
トンネルが寒の汽笛を折りたたむ,五島瑛巳,寒,冬,「車座」,,,,
高僧の紅葉の山に針の雨,五島瑛巳,紅葉,秋,水音,,,,
ちちははの匂ひ濃くなる座禅草,五島瑛巳,座禅草,春,「車座」,,,,
一望の冬田や出費つつしめり,福地記代,冬田,冬,絆橋,,日が当っていても冬田の景は寒々しい。夫が亡くなり、見渡す限りの冬田を眺めていると殊更寒さが身にしみ、ついついこれからの暮しに思いが馳せてしまう。この作品を読み思い出すのは、癌で亡くなった父が、ある日病床で「自分が生きている間は親戚や知人も親切にして呉れるが、死ねば手の裏を返したように他人になる」と言ったことである。事実、葬儀が済むとその言葉通り、社会人一年生にとって初めて世間の厳しさを味わった。その遠い体験をまざまざと思い出した。同じように、格差の問題が社会的な問題となっている今日、年金生活者や所得に恵まれない人々にとっても肯ける作品ではなかろうか。最近のマスコミの報道は、庶民とかけ離れた金銭感覚の社保庁の年金問題や国会議員の事務所経費問題、また、消費期限切れの原材料使用の不二家やミートホープの偽牛ミンチ事件、「赤福」の赤福餅の偽装など不適正表示や法令遵守に欠けた行動、前防衛事務次官の業者癒着、その他枚挙の暇がない。これこそ正に一望冬田の景である。この寒い現実に対する庶民感情を福地記代の「絆橋」中の作品を借用するならば、『役人の日本を壊す五月雨るる』『政治家のうすら笑ひやうそ寒し』ということになるのだろう。福知記代は山本有三と同じ栃木県出身で当年８１歳。俳句の出発点は石田波郷の「鶴」入会という、その後、野澤節子の「蘭」入会、平成5年「蘭」同人となる。平成８年第一句集「水の私語」が朝日新聞「折々のうた」に掲載される。平成８年「港」入会、平成１１年「港」暁光集同人。,野舘真佐志,
二年目の恋にレモンをひと搾り,青木澄江,檸檬,秋,,,,,
望の月恋が仕事と言いきって,青木澄江,名月,秋,,,,,
近未来あっけらかんと冬の沼,青木澄江,冬,冬,,,,,
しんしんしん雪降る夜の薬指,青木澄江,雪,冬,,,,,
寒紅や一度決めたら女です,青木澄江,寒紅,冬,,,,,
赤ん坊は背中に書初め蒙古斑,足立淳,書初,新年,,,,,
料峭の雲南への空路（みち）メコン越え,足立淳,春寒,春,,,,,
吾こそはオオルリアゲハ信濃の子,足立淳,夏の蝶,夏,,,,,
鬼芒掻きわけ反芻ガン告知,足立淳,芒,秋,,,,,
箴言集繙きリンゴ酸く甘く,足立淳,林檎,秋,,,,,
色刷りのハガキ進学案内書,有本風越子,入学,春,,,,,
病むことも芸のひとつや青嵐,有本風越子,青嵐,夏,,,,,
夕焼にかざす手の染み草木染,有本風越子,夕焼,夏,,,,,
消火栓赤き矢印寒の雨,有本風越子,冬の雨,冬,,,,,
恋猫に血統書など用なさず,有本風越子,猫の恋,春,,,,,
蔓引けば詩のひそむらし山葡萄,石坂亜以子,山葡萄,秋,,,,,
宇宙探索人棲む村に羽抜鶏,石坂亜以子,羽抜鶏,夏,,,,,
初霜やていねいに溶く吉野葛,石坂亜以子,葛,秋,,,,,
閉じし牧鉄条網の関たるむ,石坂亜以子,無季,無季,,,,,
日脚伸ぶ雀班にばかり陽の当る,石坂亜以子,日脚伸ぶ,冬,,,,,
空缶にたかりし蜂や御講凪,市川葉,蜂,春,,,,,
手袋や東京駅に棲むこだま,市川葉,手袋,冬,,,,,
薄氷に根のやうな隙ありにけり,市川葉,薄氷,春,,,,,
軽鳧の子のみんな同じでみなちがふ,市川葉,軽鳧の子,夏,,,,,
山羊の眼は顔の天辺黍嵐,市川葉,黍嵐,秋,,,,,
